,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L
Date,,,,,,,,,,,,,,,,
2010-01-27,,,,,,-0.01697149272061793,,-0.026228649845383645,,,,,,,,
2010-01-28,,,,,,0.011279555156632703,,-0.01697149272061793,,,,,,,,
2010-01-29,,,,,,0.009188950217594583,,0.011279555156632703,,,,,,,,
2010-02-01,,,,,,0.004524309397396342,,0.009188950217594583,,,,,,,,
2010-02-02,,,,,,-0.028976689273242817,,,,,,,,,,
2010-02-03,,,,,,0.007564415803549274,,,,,,,,,,
2010-02-04,,,,,,-0.006374691084383377,,,,,,,,,,
2010-02-05,,,,,,0.010920616696665997,,,,,,,,,,
2010-02-08,,0.010920616696665997,,,,-0.0022471024080612523,,,,,,,,,,0.010920616696665997
2010-02-09,,-0.0022471024080612523,,,,0.014864828357042725,,,,,,,,,,
2010-02-10,,0.014864828357042725,,,,0.0018888777420906777,,,,,,,,,,
2010-02-11,,0.0018888777420906777,,,,0.0,,,,,,,,,,
2010-02-12,,0.0,,,,0.013096980023708626,,,,,,,,,,
2010-02-15,,0.013096980023708626,,,,,,,,,,,,,,
2010-02-16,,0.004961522769204585,,,,,,,,,,,,,,
2010-02-17,,0.00698476676098414,,,,,,,,,,,,,,
2010-02-18,,2.601754517539412e-05,,,,,,,,,,,,,,
2010-02-19,,,,,,,,,,,,,,,,
2010-02-22,,,,,,,,-0.013088885941485051,,,,,,,,-0.013088885941485051
2010-02-23,,,,,,,,0.010572463333960114,,,,,,,,0.010572463333960114
2010-02-24,,,,,,,,0.00022089410902692563,,,,,,,,
2010-02-25,,,,,,,,0.0031666419522931033,,,,,,,,
2010-02-26,,,,,,0.0025905017344771686,,0.015192976039909878,,,,,,,,
2010-03-01,,,,,,0.00021829502477510587,,0.0025905017344771686,,,,,,,,
2010-03-02,,,,,,0.004388763732148249,,,,,,,,,,
2010-03-03,,,,,,0.01547458156510273,,,,,,,,,,
2010-03-04,,,,,,0.0012608383186534233,,,,,,,,,,
2010-03-05,,,,,,0.00553782180903295,,,,,,,,,,
2010-03-08,,,,,,0.008448037969200461,,,,,,,,,,
2010-03-09,,,,,,0.0033534383735278617,,,,,,,,,,
2010-03-10,,,,,,,,,,,,,,,,
2010-03-11,,,,,,,,,,,,,,,,
2010-03-12,,,,,,,,,,,,,,,,
2010-03-15,,,,,,,,,,,,,,,,0.0063104112859988515
2010-03-16,,,,,,,,,,,,,,,,
2010-03-17,,,,,,,,,,,,,,,,
2010-03-18,,,,,,,,,,,,,,,,
2010-03-19,,,,,,,,,,,,,,,,
2010-03-22,,,,,,-0.005761603462549947,,,,,,,,,,
2010-03-23,,,,,,-0.0013746966387243598,,,,,,,,,,
2010-03-24,,,,,,0.0017727386506747322,,,,,,,,,,
2010-03-25,,,,,,,,0.0017727386506747322,,,,,,,,
2010-03-26,,,,,,,,0.004374039136789021,,,,,,,,
2010-03-29,,,,,,,,0.0034163585531465923,,,,,,,,
2010-03-30,,,,,,,,-0.004882930206349556,,,,,,,,
2010-03-31,,,,,,,,0.0006065599505971075,,,,,,0.0006065599505971075,,
2010-04-01,,,,,,,,0.011443510210651375,,,,,,0.011443510210651375,,
2010-04-06,,,,,,,,,,,,,,-0.0023476867071975382,,
2010-04-07,,,,,,,,,,,,,,0.0017438449499067588,,
2010-04-08,,,,,,,,,,,,,,0.006888110975443507,,
2010-04-09,,,,,,,,,,,,,,0.000638430407090107,,
2010-04-12,,,,,,,,,,,,,,0.004229468048842611,,
2010-04-13,,,,,,,,,,,,,,0.012441617934615401,,
2010-04-14,,,,,,,,,,,,,,0.004825786186957615,,
2010-04-15,,,,,,,,,,,,,,,,
2010-04-16,,,,,,,,,,,,,,,,
2010-04-19,,,,,,,,,,,,,,,,
2010-04-20,,,,,,,,,,,,,,,,
2010-04-21,,,,,,0.004958417090378697,,,,,,,,,,
2010-04-22,,,,,,-0.003068944960233022,,,,,,,,,,
2010-04-23,,,,,,-0.020883651817343973,,,,,,,,,,
2010-04-26,,,,,,0.0006611763840875806,,-0.020883651817343973,,,,,,,,-0.020883651817343973
2010-04-27,,,,,,0.017567105030444896,,0.0006611763840875806,,,,,,,,0.0006611763840875806
2010-04-28,,,,,,-0.020652551166013833,,0.017567105030444896,,,,,,,,
2010-04-29,,,,,,-0.01585324510279773,,-0.020652551166013833,,,,,,,,
2010-04-30,,,,,,-0.005283483213674667,,-0.01585324510279773,,,,,,,,
2010-05-04,,,,,,-0.03290384705818794,,,,,,,,,,
2010-05-05,,,,-0.03290384705818794,,-0.02337254668683053,,,,,,,,,,
2010-05-06,,,,-0.02337254668683053,,0.05036378357356819,,,,,,,,,,
2010-05-07,,,,0.05036378357356819,,-0.001108560638495848,,,,,,,,,,
2010-05-10,,,,,,0.018096953503169644,,,,,,,,,,
2010-05-11,,,,,,-0.015179397742180245,,,,,,,,,,
2010-05-12,,,,,,-0.019727501358703048,,,,,,,,,,
2010-05-13,,,,,,0.00443573661011798,,,,,,,,,,
2010-05-14,,,,,,-0.014626095622462087,,,,,,,,,,
2010-05-17,,,,,,-0.0071904448560792256,,,,,,,,,,
2010-05-18,,,,,,-0.03907355197760287,,,,,,,,,,
2010-05-19,,,,,,0.012522295101127456,,,,,,,,,,
2010-05-20,,,,0.012522295101127456,,-0.004096496654519277,,,,,,,,,,
2010-05-21,,,,,,0.0002236501686916359,,,,,,,,,,
2010-05-24,,,,,,-0.010344261621164419,,,,,,,,,,0.0002236501686916359
2010-05-25,,,,,,0.03678644986304613,,-0.010344261621164419,,,,,,,,
2010-05-26,,,,,,-0.005516716323509363,,0.03678644986304613,,,,,,,,
2010-05-27,,,,,,-0.00938188841381915,,-0.005516716323509363,,,,,,,,
2010-05-28,,,,,,0.024599265280576654,,-0.00938188841381915,,,,,,,,
2010-06-01,,,,,,0.00852328800475588,,0.024599265280576654,,,,,,,,
2010-06-02,,,,,,-0.03347913241667544,,,,,,,,,,
2010-06-03,,,,,,-0.0184792186844962,,,,,,,,,,
2010-06-04,,,,,,-0.0013651485732750768,,,,,,,,,,
2010-06-07,,,,,,-0.009276547053305384,,,,,,,,,,-0.0013651485732750768
2010-06-08,,,,-0.009276547053305384,,0.028668846664934522,,,,,,,,,,-0.009276547053305384
2010-06-09,,,,0.028668846664934522,,0.009262976547502078,,,,,,,,,,0.028668846664934522
2010-06-10,,,,,,-0.000940085579858918,,,,,,,,,,
2010-06-11,,,,,,0.02806428491533519,,,,,,,,,,
2010-06-14,,,,,,0.004063741194544335,,,,,,,,,,0.02806428491533519
2010-06-15,,,,,,0.0027874102585483396,,,,,,,,,,
2010-06-16,,,,,,0.0014598023747591782,,,,,,,,,,
2010-06-17,,,,,,-0.00922661578273476,,,,,,,,,,
2010-06-18,,,,,,-0.008076388918055177,,,,,,,,,,
2010-06-21,,,,,,-0.0032286775971092085,,,,,,,,,,-0.008076388918055177
2010-06-22,,,,,,-0.01590000831788796,,,,,,,,,,-0.0032286775971092085
2010-06-23,,,,-0.01590000831788796,,-0.0033017092275400284,,,,,,,,,,-0.01590000831788796
2010-06-24,,,,-0.0033017092275400284,,-0.0013912894243572893,,-0.0033017092275400284,,,,,,,,-0.0033017092275400284
2010-06-25,,,,-0.0013912894243572893,,-0.0391397771380132,,-0.0013912894243572893,,,,,,,,-0.0013912894243572893
2010-06-28,,,,-0.0391397771380132,,-0.01411258283011596,,-0.0391397771380132,,,,,,,,-0.0391397771380132
2010-06-29,,,,-0.01411258283011596,,-0.0027146963576244465,,-0.01411258283011596,,,,,,,,-0.01411258283011596
2010-06-30,,,,-0.0027146963576244465,,-0.0034468582048131635,,-0.0027146963576244465,,,,,,,,-0.0027146963576244465
2010-07-01,,,,-0.0034468582048131635,,0.003626646715503279,,-0.0034468582048131635,,,,,,,,-0.0034468582048131635
2010-07-02,,,,0.003626646715503279,,0.03170265336044209,,,,,,,,,,0.003626646715503279
2010-07-06,,,,,,0.004780118975850511,,,,,,,,,,
2010-07-07,,,,,,0.00913305810976306,,,,,,,,,,
2010-07-08,,,,,,0.003456332754828928,,,,,,,,,,
2010-07-09,,,,,,0.013162220300403593,,,,,,,,,,
2010-07-12,,,,,,0.004536386334718312,,,,,,,,,,
2010-07-13,,,,,,0.0015202199443344888,,,,,,,,,,
2010-07-14,,,,,,-0.028364491304824102,,,,,,,,,,
2010-07-15,,,,,,0.00872303377015915,,,,,,,,,,
2010-07-16,,,,,,0.011735665687727659,,,,,,,,,,
2010-07-19,,,,,,-0.012705951093255008,,,,,,,,,,
2010-07-20,,,,,,0.025155686960689705,,,,,,,,,,
2010-07-21,,,,,,0.006575023854961781,,,,,,,,,,
2010-07-22,,,,,,0.00798414132586811,,,,,,,,,,
2010-07-23,,,,,,-0.0008425905471352024,,,,,,,,,,
2010-07-26,,,,,,-0.008571159082610746,,-0.0008425905471352024,,,,,,,,
2010-07-27,,,,,,-0.00651457680320533,,-0.008571159082610746,,,,,,,,
2010-07-28,,,,,,,,-0.00651457680320533,,,,,,,,
2010-07-29,,,,0.0019917556506323653,,,,0.0019917556506323653,,,,,,,,
2010-07-30,,,,,,,,0.018868816759918694,,,,,,,,
2010-08-02,,,,,,,,-0.003783205919898225,,,,,,,,
2010-08-03,,,,,,,,,,,,,,,,
2010-08-04,,,,,,-0.00108468829473507,,,,,,,,,,
2010-08-05,,,,,,0.0064587678800391846,,,,,,,,,,
2010-08-06,,,,,,-0.008290141816911789,,,,,,,,,,
